Validation_Set,Topics,Alpha,Beta,Coherence,,Topic,C_vscore
75% Corpus,2,0.01,0.01,0.451706638,,2,0.43774123
75% Corpus,2,0.01,0.31,0.448010321,,3,0.427486062
75% Corpus,2,0.01,0.61,0.422393907,,4,0.434053852
75% Corpus,2,0.01,0.91,0.375249446,,5,0.422295229
75% Corpus,2,0.01,symmetric,0.448010321,,6,0.431487982
75% Corpus,2,0.31,0.01,0.451706638,,7,0.425975776
75% Corpus,2,0.31,0.31,0.442288509,,8,0.420132738
75% Corpus,2,0.31,0.61,0.435590305,,9,0.42341229
75% Corpus,2,0.31,0.91,0.376643781,,10,0.41642254
75% Corpus,2,0.31,symmetric,0.441257127,,,
75% Corpus,2,0.61,0.01,0.450611408,,,
75% Corpus,2,0.61,0.31,0.436523028,,,
75% Corpus,2,0.61,0.61,0.447870438,,,
75% Corpus,2,0.61,0.91,0.406980335,,,
75% Corpus,2,0.61,symmetric,0.451636571,,,
75% Corpus,2,0.91,0.01,0.44264704,,,
75% Corpus,2,0.91,0.31,0.449117997,,,
75% Corpus,2,0.91,0.61,0.440297034,,,
75% Corpus,2,0.91,0.91,0.426844404,,,
75% Corpus,2,0.91,symmetric,0.449775891,,,
75% Corpus,2,symmetric,0.01,0.450286202,,,
75% Corpus,2,symmetric,0.31,0.441257127,,,
75% Corpus,2,symmetric,0.61,0.447870438,,,
75% Corpus,2,symmetric,0.91,0.408368902,,,
75% Corpus,2,symmetric,symmetric,0.451706638,,,
75% Corpus,2,asymmetric,0.01,0.436933376,,,
75% Corpus,2,asymmetric,0.31,0.402502113,,,
75% Corpus,2,asymmetric,0.61,0.396270715,,,
75% Corpus,2,asymmetric,0.91,0.486160571,,,
75% Corpus,2,asymmetric,symmetric,0.364426381,,,
75% Corpus,3,0.01,0.01,0.442115074,,,
75% Corpus,3,0.01,0.31,0.426755617,,,
75% Corpus,3,0.01,0.61,0.41657888,,,
75% Corpus,3,0.01,0.91,0.404361607,,,
75% Corpus,3,0.01,symmetric,0.414290908,,,
75% Corpus,3,0.31,0.01,0.433346271,,,
75% Corpus,3,0.31,0.31,0.410426411,,,
75% Corpus,3,0.31,0.61,0.426627428,,,
75% Corpus,3,0.31,0.91,0.399118479,,,
75% Corpus,3,0.31,symmetric,0.412714919,,,
75% Corpus,3,0.61,0.01,0.437834266,,,
75% Corpus,3,0.61,0.31,0.421673558,,,
75% Corpus,3,0.61,0.61,0.414984644,,,
75% Corpus,3,0.61,0.91,0.415479286,,,
75% Corpus,3,0.61,symmetric,0.434850899,,,
75% Corpus,3,0.91,0.01,0.423641517,,,
75% Corpus,3,0.91,0.31,0.421281773,,,
75% Corpus,3,0.91,0.61,0.36834981,,,
75% Corpus,3,0.91,0.91,0.471822514,,,
75% Corpus,3,0.91,symmetric,0.420027189,,,
75% Corpus,3,symmetric,0.01,0.43560667,,,
75% Corpus,3,symmetric,0.31,0.431358361,,,
75% Corpus,3,symmetric,0.61,0.440705451,,,
75% Corpus,3,symmetric,0.91,0.405347645,,,
75% Corpus,3,symmetric,symmetric,0.424270249,,,
75% Corpus,3,asymmetric,0.01,0.427206014,,,
75% Corpus,3,asymmetric,0.31,0.370966334,,,
75% Corpus,3,asymmetric,0.61,0.44133123,,,
75% Corpus,3,asymmetric,0.91,0.472297616,,,
75% Corpus,3,asymmetric,symmetric,0.382274277,,,
75% Corpus,4,0.01,0.01,0.43272709,,,
75% Corpus,4,0.01,0.31,0.341458672,,,
75% Corpus,4,0.01,0.61,0.440107398,,,
75% Corpus,4,0.01,0.91,0.400762753,,,
75% Corpus,4,0.01,symmetric,0.374571809,,,
75% Corpus,4,0.31,0.01,0.435719527,,,
75% Corpus,4,0.31,0.31,0.358803098,,,
75% Corpus,4,0.31,0.61,0.468963682,,,
75% Corpus,4,0.31,0.91,0.443040912,,,
75% Corpus,4,0.31,symmetric,0.357734779,,,
75% Corpus,4,0.61,0.01,0.441055084,,,
75% Corpus,4,0.61,0.31,0.383656599,,,
75% Corpus,4,0.61,0.61,0.472096177,,,
75% Corpus,4,0.61,0.91,0.480107259,,,
75% Corpus,4,0.61,symmetric,0.393198683,,,
75% Corpus,4,0.91,0.01,0.440484188,,,
75% Corpus,4,0.91,0.31,0.417639702,,,
75% Corpus,4,0.91,0.61,0.386994603,,,
75% Corpus,4,0.91,0.91,0.470538424,,,
75% Corpus,4,0.91,symmetric,0.409839179,,,
75% Corpus,4,symmetric,0.01,0.436464842,,,
75% Corpus,4,symmetric,0.31,0.345108963,,,
75% Corpus,4,symmetric,0.61,0.448075335,,,
75% Corpus,4,symmetric,0.91,,,,
75% Corpus,4,symmetric,symmetric,0.388397935,,,
75% Corpus,4,asymmetric,0.01,0.41294524,,,
75% Corpus,4,asymmetric,0.31,0.430147784,,,
75% Corpus,4,asymmetric,0.61,0.468424656,,,
75% Corpus,4,asymmetric,0.91,0.416381619,,,
75% Corpus,4,asymmetric,symmetric,0.410646662,,,
75% Corpus,5,0.01,0.01,0.406000301,,,
75% Corpus,5,0.01,0.31,0.374642049,,,
75% Corpus,5,0.01,0.61,,,,
75% Corpus,5,0.01,0.91,0.376984237,,,
75% Corpus,5,0.01,symmetric,0.359640029,,,
75% Corpus,5,0.31,0.01,0.409816106,,,
75% Corpus,5,0.31,0.31,0.44253517,,,
75% Corpus,5,0.31,0.61,0.466940912,,,
75% Corpus,5,0.31,0.91,0.326340539,,,
75% Corpus,5,0.31,symmetric,0.38585064,,,
75% Corpus,5,0.61,0.01,0.433917856,,,
75% Corpus,5,0.61,0.31,0.378932289,,,
75% Corpus,5,0.61,0.61,0.486258333,,,
75% Corpus,5,0.61,0.91,0.422094055,,,
75% Corpus,5,0.61,symmetric,0.363818093,,,
75% Corpus,5,0.91,0.01,0.428474086,,,
75% Corpus,5,0.91,0.31,0.369191914,,,
75% Corpus,5,0.91,0.61,0.44271661,,,
75% Corpus,5,0.91,0.91,0.455664267,,,
75% Corpus,5,0.91,symmetric,0.397225898,,,
75% Corpus,5,symmetric,0.01,0.396727239,,,
75% Corpus,5,symmetric,0.31,0.436022463,,,
75% Corpus,5,symmetric,0.61,0.50322053,,,
75% Corpus,5,symmetric,0.91,0.351182962,,,
75% Corpus,5,symmetric,symmetric,0.370784319,,,
75% Corpus,5,asymmetric,0.01,0.388744121,,,
75% Corpus,5,asymmetric,0.31,0.446064725,,,
75% Corpus,5,asymmetric,0.61,0.475131151,,,
75% Corpus,5,asymmetric,0.91,0.426294679,,,
